city,state_name_x,state_id,county,lat,lng,city_population,county_fips,county_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_voters,pct_poverty,pct_child_poverty,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,covid_deaths_per_100k,covid_case_to_death_pct,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,cvap,foreignborn_pct,age29andunder_pct,age65andolder_pct,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax,size_feature,diversity_feature,education_feature,wealth_feature,home_price_feature,urban_feature,political_feature,weather_feature,covid_feature,profession_feature,transportation_feature,poverty_feature,age_feature,clusterId
Brockton,Massachusetts,MA,Plymouth County,0.9554578029999999,1.600599745,-0.176646302,0.09052033,-0.463521865,0.054302935,-0.5854243689999999,0.5854243689999999,-1.055261556,1.319623101,-0.24086892199999999,-0.29315081800000004,-0.833480998,-0.600089319,0.998120357,-1.3832952090000001,-1.204447592,-0.343990721,0.086247066,0.443135554,0.35286526700000004,-0.07557516,-0.65444697,0.429229136,-1.391001254,0.25538674699999997,-0.6223611960000001,-0.8910812029999999,-0.27527805,0.213865602,-0.058270979,-0.299566548,-0.654853215,1.267728599,0.524952801,0.911656702,0.322254818,1.507054141,-1.1104930259999999,0.347564958,1.763987224,-0.795831576,0.414023254,-0.639865848,-0.92675365,-0.44862424,-0.74388242,-1.113122051,0.882585815,-0.290117182,-0.956393921,-0.225051905,-0.35920227299999996,0.173494801,0.324255668,-0.709361204,0.19765853100000003,-0.171057392,-0.32039927,0.632030882,-0.176646302,-1.4115311019999999,0.7020654679999999,0.911656702,0.632030882,-0.709361204,-0.171057392,-0.92675365,-0.938088659,0.213865602,0.06490291299999999,-1.266334678,1.094619169,90
Flint,Michigan,MI,Genesee County,1.13289771,0.852934585,-0.17706645,0.150655069,-0.505798689,-0.319024662,-1.101080545,1.101080545,-1.077185738,0.854009274,0.706705313,-0.051860732,-0.863070291,-0.600089319,1.230529355,1.138655224,1.388514239,2.220165188,-0.945190447,0.559595698,0.15650999599999998,-0.040420423999999996,1.473118928,0.960277765,-0.212608582,-0.479934076,-0.679902109,-1.1684148970000001,-1.187973587,1.039544993,-0.839929405,-0.5881813779999999,0.652987536,-1.140978687,-0.5753124039999999,-0.9167031109999999,-0.215878376,0.032925315,-1.8065481730000001,-0.959971308,0.079399266,-1.1380473420000001,0.099481474,-1.019336913,-1.211902825,-0.494146142,-1.316489354,-0.612217708,0.684747746,2.148495242,-0.48278026,1.315272958,1.057807993,1.6029831330000002,1.085653537,0.660507127,0.17223896,-0.062567321,0.78133396,-0.5708055160000001,-0.17706645,-0.651592126,-0.369694071,-0.9167031109999999,-0.5708055160000001,0.660507127,-0.062567321,-1.211902825,-1.82429832,1.039544993,-0.5553873420000001,1.346030609,0.678656247,7
Erie,Pennsylvania,PA,Erie County,0.961998237,1.066522006,-0.17714059399999998,1.088428777,-0.563075729,0.16944689899999998,0.205070993,-0.205070993,-1.03881842,1.463269919,-0.41315514700000006,-0.212720789,-0.774302412,-0.600089319,1.278364736,0.466135109,0.716264876,-0.076891147,-0.634346265,0.986616226,-0.33437818,-0.427122522,1.123382068,0.22692489600000001,0.79744228,-0.39823176200000004,0.8161616159999999,-0.8910812029999999,-0.862010895,1.015954153,-0.739070254,-0.819073242,-0.654853215,-0.9474323570000001,0.196329167,-0.7632025109999999,-0.036500645,-1.3780265619999998,-0.613255313,1.48115202,2.448112123,-1.082851251,0.406171977,-0.930049603,-1.190780664,-0.5647684789999999,-1.121893311,-0.347683125,0.7246672120000001,-0.20208414600000002,-0.7215867029999999,0.595852492,0.39556610200000003,1.0061272190000001,1.471146286,0.660507127,0.585401257,-0.434066746,-0.319639764,0.01520783,-0.17714059399999998,-1.715340018,0.141701357,-0.7632025109999999,0.01520783,0.660507127,-0.434066746,-1.190780664,-0.26600286100000003,1.015954153,-0.137365649,0.664087864,0.514484039,7
Fall River,Massachusetts,MA,Bristol County,0.886019879,1.5960434019999998,-0.191887798,0.08946533400000001,-0.442906142,-0.35404267100000003,-0.867881832,0.867881832,-0.857943916,1.364203148,-0.697427418,-0.37358084700000005,-0.685534533,-0.600089319,1.029431158,-0.5006125579999999,-0.340126982,0.136788512,-0.28111424,0.28785536300000003,-0.33437818,0.38143641,0.249039918,0.606245346,-0.49317826600000003,-0.218486672,0.010588841000000002,-0.983525768,-0.9923959720000001,0.37900148,-0.083485767,-0.70362731,-0.654853215,-0.011272092,-0.123974881,0.022497003999999998,-0.459319583,0.45410497899999996,-0.613255313,1.48115202,2.448112123,-0.795831576,0.273190975,-0.6287049339999999,-0.92675365,-0.42221369700000005,-0.406797732,-0.9489956079999999,0.706720075,0.29023131399999996,0.509640855,0.641054665,3.224011809,1.06719392,0.26834518399999996,-0.709361204,0.133870403,-0.08421515,-0.445316196,-0.024130942000000002,-0.191887798,-1.4955554119999999,-0.6382001270000001,0.022497003999999998,-0.024130942000000002,-0.709361204,-0.08421515,-0.92675365,-0.26600286100000003,0.37900148,-0.177819361,-0.385054822,0.9156431070000001,42
Taunton,Massachusetts,MA,Bristol County,0.9218132059999999,1.5964624440000001,-0.271164831,0.08946533400000001,-0.442906142,-0.691758732,-0.867881832,0.867881832,-0.857943916,1.364203148,-0.697427418,-0.37358084700000005,-0.685534533,-0.600089319,1.029431158,-0.5006125579999999,-0.340126982,0.136788512,-0.28111424,0.28785536300000003,-0.33437818,0.38143641,0.249039918,0.606245346,-0.49317826600000003,-0.218486672,0.010588841000000002,-0.983525768,-0.9923959720000001,0.37900148,-0.083485767,-0.70362731,-0.654853215,-0.011272092,-0.123974881,0.022497003999999998,-0.459319583,0.45410497899999996,-0.38139541,0.298307211,0.565751142,-0.795831576,0.273190975,-0.6287049339999999,-0.92675365,-0.42221369700000005,-0.406797732,-0.9489956079999999,0.706720075,0.29023131399999996,0.509640855,0.641054665,3.224011809,1.06719392,0.26834518399999996,-0.709361204,0.133870403,-0.08421515,-1.324762851,-0.024130942000000002,-0.271164831,-1.4955554119999999,-0.6382001270000001,0.022497003999999998,-0.024130942000000002,-0.709361204,-0.08421515,-0.92675365,-0.28720103,0.37900148,-0.177819361,-0.385054822,0.9156431070000001,42
North Port,Florida,FL,Sarasota County,-1.876418282,0.941151755,-0.238393267,-0.66602861,-0.508399002,-0.8110573759999999,-1.627565678,1.627565678,-0.7757282329999999,1.398876518,-0.611284305,-0.212720789,-0.774302412,-0.600089319,1.918351787,-0.857888869,-0.42244323,-0.504250465,-0.56369986,1.4524568009999999,1.3837304369999999,0.416591146,-1.091618045,0.7706175409999999,-1.559343065,-0.56163639,-0.9100657590000001,0.033364443,1.093765254,0.23745644100000002,-0.9155737690000001,1.4898453980000002,0.652987536,-0.486999952,0.17345030600000003,0.626621295,1.0653911329999999,-0.47249028299999996,-0.38139541,0.298307211,0.565751142,1.776306282,0.815419785,1.815535159,1.6712721640000001,-0.49039944,-0.408915036,-3.68604518,6.533495669,-0.175603775,-0.971934981,-0.025343336,-0.16292083,0.40442594,-0.38279596299999996,0.660507127,1.003614235,-0.729386875,-1.18652313,0.527093123,-0.238393267,-1.593107082,0.6104171829999999,0.626621295,0.527093123,0.660507127,-0.729386875,1.6712721640000001,-0.28720103,0.23745644100000002,-0.676748479,-0.537180511,5.012689733999999,87
Sarasota,Florida,FL,Sarasota County,-1.823472807,0.920754449,-0.269135762,-0.66602861,-0.508399002,-0.06677628599999999,-1.627565678,1.627565678,-0.7757282329999999,1.398876518,-0.611284305,-0.212720789,-0.774302412,-0.600089319,1.918351787,-0.857888869,-0.42244323,-0.504250465,-0.56369986,1.4524568009999999,1.3837304369999999,0.416591146,-1.091618045,0.7706175409999999,-1.559343065,-0.56163639,-0.9100657590000001,0.033364443,1.093765254,0.23745644100000002,-0.9155737690000001,1.4898453980000002,0.652987536,-0.486999952,0.17345030600000003,0.626621295,1.0653911329999999,-0.47249028299999996,-0.9462829890000001,2.0326660569999997,4.251446678,1.776306282,0.815419785,1.815535159,1.6712721640000001,-0.49039944,-0.408915036,-3.68604518,6.533495669,-0.175603775,-0.971934981,-0.025343336,-0.16292083,0.40442594,-0.38279596299999996,0.660507127,1.003614235,-0.729386875,0.915034645,0.527093123,-0.269135762,-1.593107082,0.6104171829999999,0.626621295,0.527093123,0.660507127,-0.729386875,1.6712721640000001,-0.459883156,0.23745644100000002,-0.676748479,-0.537180511,5.012689733999999,87
Quincy,Massachusetts,MA,Norfolk County,0.987406033,1.600947963,-0.17970597,0.09040310800000001,-0.383784522,0.332072911,-1.359486954,1.359486954,-1.027856328,1.062049494,-0.45622670299999996,-0.29315081800000004,0.512831834,-0.600089319,0.612148655,-1.698539014,-1.794380707,-0.611090295,2.064346407,-1.575506939,-1.1197992620000001,-0.9895983,-1.5870785969999999,-1.0754086459999999,-1.334887318,1.677007005,0.643538879,-0.42885838,-0.014507896999999999,0.614909877,-0.53735195,-0.299566548,-0.654853215,2.155845449,0.398079119,2.285363594,0.493090752,1.69658499,-0.9462829890000001,2.0326660569999997,4.251446678,-0.851027667,0.46701937299999996,-0.762635898,-0.895070409,-0.362305304,0.006306454,-1.065538151,0.709796924,-0.5964006860000001,-1.1905479620000001,-1.87502916,-0.795692395,-1.103582898,-0.746535559,-0.709361204,-0.537502977,0.561726508,-0.9705370170000001,0.97559904,-0.17970597,-0.908925324,1.6821651030000002,2.285363594,0.97559904,-0.709361204,0.561726508,-0.895070409,-0.459883156,0.614909877,1.534721125,-1.7961517340000002,0.995912853,21
Portsmouth,Virginia,VA,Portsmouth city,-0.031318432,1.2860350329999999,-0.179883915,1.65642659,-0.641514637,-0.324366392,-1.094783399,1.094783399,-1.033337374,-0.8400325209999999,3.489127842,-0.051860732,-0.833480998,-0.256971364,1.071633359,0.655281391,1.498269237,1.632546126,-1.185388224,0.986616226,0.058332361,1.154840605,0.715355732,0.656821406,-0.885975823,-0.31652944899999996,0.643538879,-0.059080121,-1.83989897,-2.52267181,2.992718361,-0.645904344,-0.654853215,-0.91246198,1.340272196,-1.03225098,0.147147985,-0.36719536700000005,0.176166557,2.324776812,2.080531777,0.36328634299999996,0.922393432,0.621317396,0.108232243,-0.663849508,-1.28999605,0.27670560899999996,0.10529569999999999,1.610543146,0.315625224,1.196177132,1.3275513,1.254307945,-0.89301378,-0.709361204,-0.7946328090000001,0.874798348,1.474760541,-0.8978530779999999,-0.179883915,0.322204486,-0.800224878,-1.03225098,-0.8978530779999999,-0.709361204,0.874798348,0.108232243,0.614095508,-2.52267181,-0.11039650699999999,1.309310615,-0.14730276,86
Lynn,Massachusetts,MA,Essex County,1.03006022,1.604017002,-0.18012859,0.08969977800000001,-0.34872161,1.037181312,-1.132071564,1.132071564,-0.183775313,0.8292425809999999,-0.731884662,-0.29315081800000004,-0.507998775,-0.600089319,0.507620517,-0.773823855,-0.6007951020000001,-0.343990721,0.42534981,0.249035315,-0.677999903,-0.497431994,-0.24642063399999997,-0.354699792,-0.5492922029999999,0.288067673,0.470916141,0.403142702,0.507032409,0.3318198,-0.38606322200000004,0.046771248,0.652987536,0.708986947,-0.35276348700000004,0.828082709,0.014750135,0.833166678,0.176166557,2.324776812,2.080531777,-1.016615941,0.294781986,-0.863084121,-1.127414181,-0.326844056,-0.07801285,-0.859350565,0.67480638,-0.233472563,-0.42204333299999996,-0.533096716,-0.098577355,-0.292196236,-0.391823194,-0.709361204,-0.33608171299999995,0.36572721799999997,-0.321124267,0.67588295,-0.18012859,-0.604256365,0.529634316,0.828082709,0.67588295,-0.709361204,0.36572721799999997,-1.127414181,0.614095508,0.3318198,0.348078899,-0.652586207,0.8425422109999999,90
Lawrence,Massachusetts,MA,Essex County,1.071979314,1.592431379,-0.21539879999999997,0.08969977800000001,-0.34872161,1.6722536940000001,-1.132071564,1.132071564,-0.183775313,0.8292425809999999,-0.731884662,-0.29315081800000004,-0.507998775,-0.600089319,0.507620517,-0.773823855,-0.6007951020000001,-0.343990721,0.42534981,0.249035315,-0.677999903,-0.497431994,-0.24642063399999997,-0.354699792,-0.5492922029999999,0.288067673,0.470916141,0.403142702,0.507032409,0.3318198,-0.38606322200000004,0.046771248,0.652987536,0.708986947,-0.35276348700000004,0.828082709,0.014750135,0.833166678,0.176166557,2.324776812,2.080531777,-1.016615941,0.294781986,-0.863084121,-1.127414181,-0.326844056,-0.07801285,-0.859350565,0.67480638,-0.233472563,-0.42204333299999996,-0.533096716,-0.098577355,-0.292196236,-0.391823194,-0.709361204,-0.33608171299999995,0.36572721799999997,-0.265558678,0.67588295,-0.21539879999999997,-0.604256365,0.529634316,0.828082709,0.67588295,-0.709361204,0.36572721799999997,-1.127414181,0.614095508,0.3318198,0.348078899,-0.652586207,0.8425422109999999,90
Haverhill,Massachusetts,MA,Essex County,1.087717823,1.596887388,-0.254976766,0.08969977800000001,-0.34872161,-0.5297262460000001,-1.132071564,1.132071564,-0.183775313,0.8292425809999999,-0.731884662,-0.29315081800000004,-0.507998775,-0.600089319,0.507620517,-0.773823855,-0.6007951020000001,-0.343990721,0.42534981,0.249035315,-0.677999903,-0.497431994,-0.24642063399999997,-0.354699792,-0.5492922029999999,0.288067673,0.470916141,0.403142702,0.507032409,0.3318198,-0.38606322200000004,0.046771248,0.652987536,0.708986947,-0.35276348700000004,0.828082709,0.014750135,0.833166678,0.176166557,2.324776812,2.080531777,-1.016615941,0.294781986,-0.863084121,-1.127414181,-0.326844056,-0.07801285,-0.859350565,0.67480638,-0.233472563,-0.42204333299999996,-0.533096716,-0.098577355,-0.292196236,-0.391823194,-0.709361204,-0.33608171299999995,0.36572721799999997,-0.658827842,0.67588295,-0.254976766,-0.604256365,0.529634316,0.828082709,0.67588295,-0.709361204,0.36572721799999997,-1.127414181,0.614095508,0.3318198,0.348078899,-0.652586207,0.8425422109999999,90
Peabody,Massachusetts,MA,Essex County,1.0405399929999999,1.60365698,-0.282024428,0.08969977800000001,-0.34872161,-0.224654093,-1.132071564,1.132071564,-0.183775313,0.8292425809999999,-0.731884662,-0.29315081800000004,-0.507998775,-0.600089319,0.507620517,-0.773823855,-0.6007951020000001,-0.343990721,0.42534981,0.249035315,-0.677999903,-0.497431994,-0.24642063399999997,-0.354699792,-0.5492922029999999,0.288067673,0.470916141,0.403142702,0.507032409,0.3318198,-0.38606322200000004,0.046771248,0.652987536,0.708986947,-0.35276348700000004,0.828082709,0.014750135,0.833166678,0.176166557,2.324776812,2.080531777,-1.016615941,0.294781986,-0.863084121,-1.127414181,-0.326844056,-0.07801285,-0.859350565,0.67480638,-0.233472563,-0.42204333299999996,-0.533096716,-0.098577355,-0.292196236,-0.391823194,-0.709361204,-0.33608171299999995,0.36572721799999997,-1.543121771,0.67588295,-0.282024428,-0.604256365,0.529634316,0.828082709,0.67588295,-0.709361204,0.36572721799999997,-1.127414181,0.614095508,0.3318198,0.348078899,-0.652586207,0.8425422109999999,90
