city,state_name_x,danger,year
Dallas,Texas,482.5419816811569,2006
Dallas,Texas,427.66386033779224,2007
Dallas,Texas,357.93370077432166,2008
Dallas,Texas,316.8648945256249,2009
Dallas,Texas,305.92344734082684,2010
Dallas,Texas,272.4401298097089,2011
Dallas,Texas,269.98531672934377,2012
Dallas,Texas,265.49483472309095,2013
Dallas,Texas,265.86062829496484,2014
Denver,Colorado,315.01084045402365,2005
Denver,Colorado,304.2579578338157,2006
Denver,Colorado,246.11649723485203,2007
Denver,Colorado,226.62220580521216,2008
Denver,Colorado,229.7413507971159,2009
Denver,Colorado,225.7405549871868,2010
Denver,Colorado,243.5589212134712,2011
Denver,Colorado,247.23766794740223,2012
Denver,Colorado,252.2724085913148,2013
Denver,Colorado,240.59409065563688,2014
Detroit,Michigan,944.5329947210228,2005
Detroit,Michigan,967.4129583860009,2006
Detroit,Michigan,914.7811018025002,2007
Detroit,Michigan,794.0974825096079,2008
Detroit,Michigan,796.7055648082802,2009
Detroit,Michigan,951.1654200121317,2010
Detroit,Michigan,855.4776168998051,2011
Detroit,Michigan,849.8421713600399,2012
Detroit,Michigan,828.7599890839847,2013
Detroit,Michigan,795.8007518687173,2014
El Paso,Texas,174.19941213513917,2005
El Paso,Texas,157.38693499991064,2006
El Paso,Texas,167.13498877487905,2007
El Paso,Texas,184.5277559138696,2008
El Paso,Texas,182.9311648772163,2009
El Paso,Texas,176.29995024040204,2010
El Paso,Texas,172.48559099550369,2011
El Paso,Texas,169.2877951730181,2012
El Paso,Texas,148.4184198911284,2013
El Paso,Texas,157.05459425848147,2014
Fort Worth,Texas,255.68232775278392,2005
Fort Worth,Texas,262.9676261234869,2006
Fort Worth,Texas,267.00740875482524,2007
Fort Worth,Texas,263.89294854885964,2008
Fort Worth,Texas,234.7067409766456,2009
Fort Worth,Texas,232.10821283152046,2010
Fort Worth,Texas,242.01806811019523,2011
Fort Worth,Texas,235.0860471548537,2012
Fort Worth,Texas,225.08507227182562,2013
Fort Worth,Texas,223.23075833605634,2014
Fresno,California,338.3120857369812,2005
Fresno,California,302.9645215993329,2006
Fresno,California,257.7885083762205,2007
Fresno,California,233.91763694418805,2008
Fresno,California,243.7210461806926,2009
Fresno,California,245.3377538334024,2010
Fresno,California,232.97634271099759,2011
Fresno,California,217.22847922278362,2012
Fresno,California,200.598967135412,2013
Fresno,California,185.66331571142678,2014
Houston,Texas,469.01549176529545,2005
Houston,Texas,467.7563943986887,2006
Houston,Texas,452.8877957764398,2007
Houston,Texas,442.7005286089794,2008
Houston,Texas,450.23003635810346,2009
Houston,Texas,428.5120252866112,2010
Houston,Texas,389.8437602046623,2011
Houston,Texas,397.01038868345864,2012
Houston,Texas,385.08561381560907,2013
Houston,Texas,396.5525085666998,2014
Indianapolis,Indiana,397.2490453627621,2005
Indianapolis,Indiana,383.98489829194386,2006
Indianapolis,Indiana,493.73610881159186,2007
Indianapolis,Indiana,481.7345412573353,2008
Indianapolis,Indiana,479.8695958429993,2009
Indianapolis,Indiana,464.09137490557976,2010
Indianapolis,Indiana,440.32344806392064,2011
Indianapolis,Indiana,474.1906635664471,2012
Indianapolis,Indiana,493.0018112958998,2013
Indianapolis,Indiana,501.86544991016444,2014
Jacksonville,Florida,331.9673213380797,2005
Jacksonville,North Carolina,331.9673213380797,2005
Jacksonville,Florida,334.8990100801435,2006
Jacksonville,North Carolina,334.8990100801435,2006
Jacksonville,Florida,408.65366526619516,2007
Jacksonville,North Carolina,408.65366526619516,2007
Jacksonville,Florida,398.5708614529575,2008
Jacksonville,North Carolina,398.5708614529575,2008
Jacksonville,Florida,334.393331884888,2009
Jacksonville,North Carolina,334.393331884888,2009
Jacksonville,Florida,265.7405349066884,2010
Jacksonville,North Carolina,265.7405349066884,2010
Jacksonville,Florida,248.40939133227636,2011
Jacksonville,North Carolina,248.40939133227636,2011
Jacksonville,Florida,246.90124426046205,2012
Jacksonville,North Carolina,246.90124426046205,2012
Jacksonville,Florida,248.1126107751154,2013
Jacksonville,North Carolina,248.1126107751154,2013
Jacksonville,Florida,273.49796325090165,2014
Jacksonville,North Carolina,273.49796325090165,2014
Kansas City,Missouri,583.6821718406397,2005
Kansas City,Kansas,583.6821718406397,2005
Kansas City,Missouri,577.4868479177551,2006
Kansas City,Kansas,577.4868479177551,2006
Kansas City,Missouri,748.6738511363008,2007
Kansas City,Kansas,748.6738511363008,2007
Kansas City,Missouri,555.449724667408,2008
Kansas City,Kansas,555.449724667408,2008
Kansas City,Missouri,520.1739690189887,2009
Kansas City,Kansas,520.1739690189887,2009
Kansas City,Missouri,490.92297085389583,2010
Kansas City,Kansas,490.92297085389583,2010
Kansas City,Missouri,481.5172778454369,2011
Kansas City,Kansas,481.5172778454369,2011
Kansas City,Missouri,507.59255548157245,2012
Kansas City,Kansas,507.59255548157245,2012
Kansas City,Missouri,504.9042563703768,2013
Kansas City,Kansas,504.9042563703768,2013
Kansas City,Missouri,503.1414316730603,2014
Kansas City,Kansas,503.1414316730603,2014
Las Vegas,Nevada,297.417956492091,2005
Las Vegas,Nevada,393.1515439429928,2006
Las Vegas,Nevada,406.84305181500065,2007
Las Vegas,Nevada,393.85888743141123,2008
Las Vegas,Nevada,378.6878794611416,2009
Las Vegas,Nevada,349.8077827253368,2010
Las Vegas,Nevada,296.5565378608052,2011
Las Vegas,Nevada,313.58807294613393,2012
Las Vegas,Nevada,303.2146915435652,2013
Las Vegas,Nevada,336.4297710038348,2014
Long Beach,California,283.41000856733694,2005
Long Beach,California,286.02312856614196,2006
Long Beach,California,289.13893395842257,2007
Long Beach,California,270.4606523856934,2008
Long Beach,California,272.51820703538385,2009
Long Beach,California,235.36690628806045,2010
Long Beach,California,244.34936742421806,2011
Long Beach,California,230.265188032169,2012
Long Beach,California,199.80198652230845,2013
Long Beach,California,195.61770493055946,2014
Los Angeles,California,328.24973515122537,2005
Los Angeles,California,314.74524127744763,2006
Los Angeles,California,287.3643549248454,2007
Los Angeles,California,275.8094169704902,2008
Los Angeles,California,250.15745265507803,2009
Los Angeles,California,226.5873653075274,2010
Los Angeles,California,208.95406476637828,2011
Los Angeles,California,192.44008360824893,2012
Los Angeles,California,170.40651244932297,2013
Los Angeles,California,196.28481006826084,2014
Memphis,Tennessee,744.4608741244314,2005
Memphis,Tennessee,796.5007314622796,2006
Memphis,Tennessee,780.857778096535,2007
Memphis,Tennessee,770.1258544801997,2008
Memphis,Tennessee,723.5013582131814,2009
Memphis,Tennessee,643.1397040295958,2010
Memphis,Tennessee,633.5286682753078,2011
Memphis,Tennessee,694.6379571547643,2012
Memphis,Tennessee,662.3171063614984,2013
Memphis,Tennessee,697.4876397494675,2014
Mesa,Arizona,201.6182517575276,2005
Mesa,Arizona,181.333681382626,2006
Mesa,Arizona,195.6988490373447,2007
Mesa,Arizona,200.42861427123518,2008
Mesa,Arizona,169.91162471619447,2009
Mesa,Arizona,163.0827189260229,2010
Mesa,Arizona,165.02865767109282,2011
Mesa,Arizona,159.86140618665408,2012
Mesa,Arizona,158.45491115958416,2013
Mesa,Arizona,183.42667693879164,2014
Miami,Florida,631.8907016572452,2005
Miami,Florida,603.7655178732315,2006
Miami,Florida,596.6089135458203,2007
Miami,Florida,533.8757188946557,2008
Miami,Florida,475.4714280602564,2009
Miami,Florida,488.56322457736405,2010
Miami,Florida,479.03067663453567,2011
Miami,Florida,468.80845322655694,2012
